
fips,year,ab_res_agi_rate,ab_occ_cdc_rate,afdc_15,poverty_rate,popstatecensus,beer_pc,ln_income_pc,unemployment_rate,ln_lag_police_pc,ln_lag_prison_pc,ear_res_murd,ear_res_prop,ear_res_viol,pct_msa_ucr_hybrid,age_bm_1519,age_bm_2039,age_wm_1519,age_wm_2039,age_nm_1519,age_nm_2039,shalll,violent_rate,property_rate,murder_rate,ln_violent_rate,ln_property_rate,ln_murder_rate,vs_murder_rate,ln_vs_murder_rate,state
44,2007,3.57142857142857,3.89463477698772,4327.86885245902,9.5,1057315,1.1,9.88456279890422,5.2,1.10912719710909,1.32410845506209,3.03315410531568,3.54024636860574,3.29907481039909,100,0.376614362001419,1.09021437168121,3.25825333595276,11.0428781509399,0.289601504802704,0.942103326320648,0,229.147918701172,2606.84106445313,1.79612636566162,0.829197542233984,3.26072426116681,-4.01953785908341,2.2699006445572,-3.7854341243702,Rhode Island
44,2008,3.60225763612218,3.7367197875166,4202.07612456747,12.7,1055003,1.09,9.87590238927964,7.8,1.11984065406823,1.33505159065674,3.14650018411576,3.60105271775235,3.39909324394414,100,0.386254817247391,1.10132384300232,3.23221826553345,10.9234752655029,0.307487279176712,0.976869285106659,0,252.7626953125,2845.0078125,2.95016694068909,0.927280899384996,3.34815090661426,-3.52330842717342,2.74880734936299,-3.59400305952155,Rhode Island
44,2009,3.60484763735944,3.78080755112743,4040.48582995952,13,1053646,1.07,9.85998897481501,11,1.12202971927836,1.34393793998457,3.24095191836025,3.65612117616566,3.48102939262843,100,0.389219909906387,1.11185359954834,3.1985125541687,10.7949924468994,0.318702876567841,1.00194942951202,0,254.270523071289,2616.57470703125,3.03833341598511,0.933228565727292,3.26445119169298,-3.49386103932258,2.84725609929711,-3.55881442764681,Rhode Island
44,2010,3.49765888282485,3.7407175449584,3822.89170375442,14,1053219,1.07,9.88323861000509,11.2,1.10807781696928,1.24902445646611,3.32433043446062,3.70276576745569,3.55057845687405,100,0.373449742794037,1.12357842922211,3.1030900478363,10.742094039917,0.320737481117249,1.03173565864563,0,257.380340576172,2561.35693359375,2.75527119636536,0.945384729319119,3.24312226324254,-3.59165431034574,2.56423649858255,-3.66350941304662,Rhode Island
44,2011,3.37043795620438,3.80018248175182,3762.90630975143,13.4,1051856,1.04,9.88790028447004,11,1.09998586116985,1.15919652926234,3.39851216889617,3.7428677924199,3.61098225736955,100,0.373245000839233,1.17040741443634,3.02246689796448,10.7668724060059,0.320386052131653,1.06754159927368,0,246.13427734375,2662.74267578125,1.90359079837799,0.900707043887018,3.28194176570939,-3.96142818953513,1.80581930021651,-4.01415579125026,Rhode Island
44,2012,3.12236866190738,3.24821526633718,1695.69784616529,13.6,1052393,1.03,9.90707875144626,10.4,1.07793844033295,1.15451597695221,3.4687595722618,3.77288082038377,3.66540212043118,100,0.350059330463409,1.18729412555695,2.97084832191467,10.7768669128418,0.314996391534805,1.11507773399353,0,252.974380493164,2574.3974609375,3.42757916450501,0.928118034739129,3.24820060397604,-3.37331595693542,2.84964963557731,-3.5579741341498,Rhode Island
44,2013,2.89480988065501,3.00767878619669,4155.31917985147,13.5,1052856,1,9.89386019050962,9.3,1.0624342824633,1.1482955730697,3.54213084556723,3.80000751788492,3.71931775762385,100,0.340217471122742,1.22295928001404,2.90172624588013,10.8369998931885,0.313148230314255,1.15609359741211,0,257.2734375,2443.7177734375,2.94298028945923,0.944969292447718,3.19610565031848,-3.52574741419064,2.94457362573899,-3.52520615840203,Rhode Island
44,2014,2.97514552342234,2.76263512889217,4351.15612911831,11.3,1054907,1.02,9.92463221604655,7.7,1.06560039964061,1.16073207707931,3.59808171038874,3.81427916223573,3.75785083524523,100,0.335859000682831,1.26608324050903,2.85930418968201,10.8855094909668,0.315478056669235,1.2005797624588,0,219.924606323242,2178.58056640625,2.46467232704163,0.788114603098992,3.08125864139934,-3.70311131753568,2.55977064455025,-3.66525252348278,Rhode Island
45,1970,0,0,,,2590713,,,,,,0,0,0,,,,,,,,,,,,,,,15.0241426415216,-1.89551176932327,South Carolina
45,1971,0,0,,,2662269,,,,,,0,0,0,,,,,,,,,,,,,,,17.2498231893123,-1.75736829245819,South Carolina
